pollster,grade,population,end_date,yes,sample_size,no,pollster_rating_id
Morning Consult,1.0,a,2021-03-28,57.0,2200.0,36.0,218
Morning Consult,1.0,a,2021-03-28,54.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-03-27,55.0,45000.0,36.0,218
HarrisX,1.05,rv,2021-03-26,61.0,1882.0,39.0,133
Morning Consult,1.0,a,2021-03-26,58.0,2080.0,36.0,218
Morning Consult,1.0,a,2021-03-26,56.0,2200.0,37.0,218
Morning Consult,1.0,a,2021-03-26,55.0,45000.0,36.0,218
SurveyMonkey,0.75,a,2021-03-26,56.0,16336.0,42.0,324
Ipsos,1.05,a,2021-03-25,53.46,1005.0,40.66,154
Harris Poll,1.05,rv,2021-03-25,61.0,1945.0,39.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-25,48.0,1500.0,51.0,277
YouGov,0.93,a,2021-03-25,53.0,1606.0,36.0,391
Marist,1.0,rv,2021-03-25,52.0,1167.0,41.0,183
Morning Consult,1.0,a,2021-03-25,56.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-24,47.0,1500.0,51.0,277
Morning Consult,1.0,a,2021-03-24,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-23,48.0,1500.0,50.0,277
YouGov,0.93,rv,2021-03-23,51.0,1267.0,43.0,391
Morning Consult,1.0,a,2021-03-23,55.0,45000.0,36.0,218
Redfield & Wilton Strategies,0.3,rv,2021-03-22,53.0,1500.0,35.0,562
Morning Consult,1.0,rv,2021-03-22,57.0,1994.0,40.0,218
HarrisX,1.05,rv,2021-03-22,60.0,2858.0,40.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-22,48.0,1500.0,50.0,277
Morning Consult,1.0,a,2021-03-22,57.0,2200.0,35.0,218
Morning Consult,1.0,a,2021-03-22,60.0,2200.0,35.0,218
Climate Nexus,0.6,rv,2021-03-22,54.0,1310.0,40.0,506
Morning Consult,1.0,a,2021-03-22,56.0,2200.0,37.0,218
Morning Consult,1.0,a,2021-03-22,56.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-21,49.0,1500.0,49.0,277
Echelon Insights,0.9,rv,2021-03-21,51.0,1008.0,44.0,407
Morning Consult,1.0,a,2021-03-21,55.0,45000.0,36.0,218
RMG Research,0.85,rv,2021-03-20,60.0,1200.0,34.0,555
American Research Group,0.75,rv,2021-03-20,60.0,989.0,34.0,9
Morning Consult,1.0,a,2021-03-20,56.0,45000.0,35.0,218
Morning Consult,1.0,a,2021-03-19,60.0,2200.0,33.0,218
Morning Consult,1.0,a,2021-03-19,56.0,45000.0,35.0,218
Ipsos,1.05,a,2021-03-18,58.74,1005.0,35.39,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-18,52.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-03-18,56.0,45000.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-17,51.0,1500.0,47.0,277
YouGov,0.93,rv,2021-03-17,55.0,1218.0,41.0,391
Morning Consult,1.0,a,2021-03-17,56.0,45000.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-16,52.0,1500.0,46.0,277
Civiqs,0.75,rv,2021-03-16,51.0,1673.0,44.0,471
Morning Consult,1.0,a,2021-03-16,56.0,45000.0,35.0,218
Morning Consult,1.0,rv,2021-03-15,62.0,1993.0,34.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-15,51.0,1500.0,47.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-03-15,56.0,1001.0,40.0,413
Morning Consult,1.0,a,2021-03-15,55.0,45000.0,36.0,218
Gallup,1.05,a,2021-03-15,54.0,1010.0,42.0,112
HarrisX,1.05,rv,2021-03-14,59.0,2839.0,41.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-14,52.0,1500.0,46.0,277
Morning Consult,1.0,a,2021-03-14,56.0,45000.0,35.0,218
RMG Research,0.85,rv,2021-03-13,57.0,1200.0,37.0,555
YouGov,0.93,a,2021-03-13,62.0,2382.0,38.0,391
Morning Consult,1.0,a,2021-03-13,56.0,45000.0,35.0,218
Morning Consult,1.0,a,2021-03-12,55.0,45000.0,36.0,218
Ipsos,1.05,a,2021-03-11,53.76,1001.0,39.11,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-11,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-03-11,55.0,45000.0,36.0,218
YouGov,0.93,a,2021-03-10,60.0,1306.0,40.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-10,50.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-03-10,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-09,50.0,1500.0,48.0,277
YouGov,0.93,rv,2021-03-09,52.0,1242.0,41.0,391
Morning Consult,1.0,a,2021-03-09,55.0,45000.0,36.0,218
Morning Consult,1.0,rv,2021-03-08,59.0,1990.0,37.0,218
HarrisX,1.05,rv,2021-03-08,58.0,2839.0,42.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-08,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-03-08,58.0,2201.0,34.0,218
Bullfinch,0.6,rv,2021-03-08,56.0,1000.0,37.0,692
SSRS,0.65,rv,2021-03-08,50.0,,44.0,297
Marist,1.0,rv,2021-03-08,48.0,1082.0,43.0,183
Morning Consult,1.0,a,2021-03-08,55.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-07,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-03-07,55.0,45000.0,36.0,218
Pew,0.9,a,2021-03-07,54.0,6011.0,42.0,253
Climate Nexus,0.6,rv,2021-03-07,53.0,1624.0,39.0,506
RMG Research,0.85,rv,2021-03-06,53.0,1200.0,39.0,555
Morning Consult,1.0,a,2021-03-06,54.0,45000.0,36.0,218
Morning Consult,1.0,a,2021-03-05,54.0,45000.0,36.0,218
Ipsos,1.05,a,2021-03-04,57.86,1005.0,34.53,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-04,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-03-04,54.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-03,49.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-03-03,54.0,45000.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-02,50.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-03-02,54.0,15000.0,36.0,218
YouGov,0.93,rv,2021-03-02,52.0,1191.0,42.0,391
Morning Consult,1.0,a,2021-03-01,54.0,15000.0,35.0,218
Morning Consult,1.0,rv,2021-03-01,57.0,1992.0,37.0,218
Morning Consult,1.0,a,2021-03-01,56.0,2200.0,37.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-03-01,50.0,1500.0,48.0,277
Monmouth U.,1.0,rv,2021-03-01,50.0,731.0,43.0,215
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-03-01,53.0,1007.0,41.0,413
AP-NORC,0.6,a,2021-03-01,60.0,1434.0,40.0,397
Léger,0.9,a,2021-02-28,48.0,1002.0,38.0,572
Morning Consult,1.0,a,2021-02-28,54.0,15000.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-28,49.0,1500.0,48.0,277
McLaughlin,0.4,lv,2021-02-28,55.0,1000.0,40.0,203
PPP,1.0,rv,2021-02-27,47.0,1390.0,43.0,263
RMG Research,0.85,rv,2021-02-27,54.0,1200.0,40.0,555
Morning Consult,1.0,a,2021-02-27,54.0,15000.0,35.0,218
TIPP,1.3,rv,2021-02-27,57.0,1058.0,32.0,144
Morning Consult,1.0,a,2021-02-26,54.0,15000.0,35.0,218
HarrisX,1.05,rv,2021-02-26,58.0,1909.0,42.0,133
Ipsos,1.05,a,2021-02-25,56.54,1004.0,37.44,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-25,49.0,1500.0,49.0,277
Harris Poll,1.05,rv,2021-02-25,61.0,1778.0,39.0,133
Morning Consult,1.0,a,2021-02-25,54.0,15000.0,35.0,218
HarrisX,1.05,rv,2021-02-24,59.0,949.0,41.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-24,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-02-24,54.0,15000.0,35.0,218
Marist,1.0,a,2021-02-24,51.0,1275.0,38.0,183
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-23,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-02-23,54.0,15000.0,35.0,218
GQR / Democracy Corps,0.93,rv,2021-02-23,52.0,1000.0,37.0,126
GQR / Democracy Corps,0.93,rv,2021-02-23,52.0,1000.0,38.0,126
GQR / Democracy Corps,0.93,rv,2021-02-23,51.0,1000.0,39.0,126
YouGov,0.93,a,2021-02-22,50.0,1556.0,38.0,391
Morning Consult,1.0,a,2021-02-22,54.0,15000.0,35.0,218
YouGov,0.93,rv,2021-02-22,51.0,1201.0,40.0,391
Morning Consult,1.0,rv,2021-02-22,58.0,2013.0,36.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-22,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-02-21,54.0,15000.0,35.0,218
Morning Consult,1.0,a,2021-02-21,57.0,2200.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-21,50.0,1500.0,49.0,277
Hart Research Associates,0.65,v,2021-02-21,58.0,1000.0,42.0,113
RMG Research,0.85,rv,2021-02-20,56.0,1200.0,37.0,555
Morning Consult,1.0,a,2021-02-20,54.0,15000.0,35.0,218
American Research Group,0.75,rv,2021-02-20,59.0,990.0,34.0,9
Morning Consult,1.0,a,2021-02-19,54.0,15000.0,35.0,218
Ipsos,1.05,a,2021-02-18,55.5,1005.0,35.95,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-18,49.0,1500.0,49.0,277
Morning Consult,1.0,a,2021-02-18,54.0,15000.0,35.0,218
Echelon Insights,0.9,rv,2021-02-18,51.0,1005.0,42.0,407
Gallup,1.05,a,2021-02-18,56.0,1021.0,40.0,112
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-17,50.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-02-17,54.0,15000.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-16,50.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-02-16,54.0,15000.0,34.0,218
YouGov,0.93,rv,2021-02-16,55.0,1259.0,40.0,391
Morning Consult,1.0,rv,2021-02-15,62.0,1984.0,33.0,218
Morning Consult,1.0,a,2021-02-15,54.0,15000.0,34.0,218
Morning Consult,1.0,rv,2021-02-15,56.0,1987.0,38.0,218
HarrisX,1.05,rv,2021-02-15,59.0,2835.0,41.0,133
Morning Consult,1.0,a,2021-02-15,56.0,2200.0,34.0,218
Morning Consult,1.0,a,2021-02-15,56.0,4400.0,35.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-15,53.0,1500.0,44.0,277
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-02-15,56.0,1067.0,38.0,413
Morning Consult,1.0,a,2021-02-14,54.0,15000.0,34.0,218
Quinnipiac,1.0,rv,2021-02-14,52.0,960.0,38.0,267
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-14,53.0,1500.0,43.0,277
Saint Leo U.,0.3,a,2021-02-14,60.9,1000.0,32.3,299
Morning Consult,1.0,a,2021-02-13,55.0,15000.0,34.0,218
RMG Research,0.85,rv,2021-02-13,57.0,1200.0,35.0,555
Morning Consult,1.0,a,2021-02-12,55.0,15000.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-11,52.0,1500.0,45.0,277
Morning Consult,1.0,a,2021-02-11,55.0,15000.0,33.0,218
Ipsos,1.05,a,2021-02-10,57.42,1001.0,35.18,154
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-10,50.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-02-10,55.0,15000.0,33.0,218
HarrisX,1.05,rv,2021-02-09,60.0,938.0,40.0,133
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-09,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-02-09,55.0,15000.0,33.0,218
YouGov,0.93,rv,2021-02-09,53.0,1306.0,40.0,391
Morning Consult,1.0,a,2021-02-08,55.0,15000.0,33.0,218
YouGov,0.93,a,2021-02-08,61.0,2508.0,39.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-08,51.0,1500.0,46.0,277
Morning Consult,1.0,rv,2021-02-07,59.0,1986.0,35.0,218
Morning Consult,1.0,a,2021-02-07,55.0,15000.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-07,50.0,1500.0,47.0,277
RMG Research,0.85,rv,2021-02-06,60.0,1200.0,32.0,555
Morning Consult,1.0,a,2021-02-06,54.0,15000.0,34.0,218
Morning Consult,1.0,a,2021-02-05,54.0,15000.0,34.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-04,49.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-02-04,54.0,15000.0,34.0,218
Ipsos,1.05,a,2021-02-03,57.46,1005.0,34.28,154
Emerson College Polling Society,1.05,a,2021-02-03,49.0,1429.0,39.0,88
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-03,52.0,1500.0,46.0,277
Morning Consult,1.0,a,2021-02-03,54.0,15000.0,33.0,218
YouGov,0.93,rv,2021-02-02,50.0,1272.0,40.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-02,51.0,1500.0,47.0,277
Morning Consult,1.0,a,2021-02-02,54.0,15000.0,33.0,218
Gallup,1.05,a,2021-02-02,57.0,906.0,37.0,112
Morning Consult,1.0,rv,2021-02-01,56.0,9000.0,37.0,218
Morning Consult,1.0,rv,2021-02-01,58.0,1986.0,35.0,218
Morning Consult,1.0,a,2021-02-01,57.0,2200.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-02-01,51.0,1500.0,45.0,277
Quinnipiac,1.0,rv,2021-02-01,50.0,983.0,36.0,267
AP-NORC,0.6,a,2021-02-01,61.0,1055.0,38.0,397
Global Strategy Group/GBAO/Navigator Research,0.9,rv,2021-02-01,53.0,1005.0,39.0,413
Morning Consult,1.0,a,2021-01-31,54.0,15000.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-31,49.0,1500.0,46.0,277
Morning Consult,1.0,a,2021-01-30,55.0,2200.0,34.0,218
Morning Consult,1.0,a,2021-01-30,54.0,15000.0,32.0,218
RMG Research,0.85,rv,2021-01-30,58.0,1200.0,35.0,555
Morning Consult,1.0,a,2021-01-30,57.0,2200.0,33.0,218
John Zogby Strategies,0.9,lv,2021-01-29,56.1,841.0,36.4,583
HarrisX,1.05,rv,2021-01-29,61.0,945.0,39.0,133
TIPP,1.3,rv,2021-01-29,58.0,1002.0,29.0,144
Morning Consult,1.0,a,2021-01-29,54.0,15000.0,32.0,218
Morning Consult,1.0,a,2021-01-28,56.0,2200.0,33.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-28,50.0,1500.0,45.0,277
Morning Consult,1.0,a,2021-01-28,56.0,3423.0,31.0,218
Morning Consult,1.0,a,2021-01-28,54.0,15000.0,32.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-27,49.0,1500.0,48.0,277
Morning Consult,1.0,a,2021-01-27,54.0,15000.0,31.0,218
Marist,1.0,rv,2021-01-27,50.0,1153.0,36.0,183
Morning Consult,1.0,a,2021-01-26,58.0,2200.0,32.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-26,48.0,1500.0,48.0,277
YouGov,0.93,rv,2021-01-26,52.0,1245.0,36.0,391
Morning Consult,1.0,a,2021-01-26,53.0,15000.0,30.0,218
Echelon Insights,0.9,rv,2021-01-26,55.0,1006.0,33.0,407
Morning Consult,1.0,a,2021-01-25,53.0,15000.0,30.0,218
Morning Consult,1.0,rv,2021-01-25,59.0,1990.0,32.0,218
Data for Progress,0.93,lv,2021-01-25,57.0,1164.0,36.0,522
Morning Consult,1.0,a,2021-01-25,56.0,2200.0,32.0,218
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-25,48.0,1500.0,47.0,277
Morning Consult,1.0,rv,2021-01-24,56.0,11444.0,34.0,218
Monmouth U.,1.0,rv,2021-01-24,54.0,736.0,31.0,215
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-24,48.0,1500.0,47.0,277
RMG Research,0.85,rv,2021-01-23,58.0,1200.0,32.0,555
Morning Consult,1.0,a,2021-01-23,52.0,15000.0,29.0,218
HarrisX,1.05,rv,2021-01-22,63.0,941.0,37.0,133
Morning Consult,1.0,rv,2021-01-22,54.0,9000.0,31.0,218
Morning Consult,1.0,rv,2021-01-21,56.0,1993.0,31.0,218
Ipsos,1.05,rv,2021-01-21,57.0,950.0,32.0,154
YouGov,0.93,a,2021-01-21,45.0,1516.0,28.0,391
Rasmussen (Pulse Opinion Research),0.93,lv,2021-01-21,48.0,1500.0,45.0,277
Morning Consult,1.0,a,2021-01-21,50.0,15000.0,28.0,218
